#loc_id;name;lat;lon;plz;adresse
105;;5.116.766;1.042.498;;
80076;;;;;
80085;;;;;
80070;;;;;
80082;;;;;
80087;;;;;
80068;;;;;
80078;;;;;
80080;;;;;
80072;;;;;
80084;;;;;
80094;;;;;
80090;;;;;
80064;;;;;
80065;;;;;
80075;;;;7937;
80088;;;;;
80066;;;;;
80071;;;;;
80089;;;;;
80073;;;;;
80069;;;;;
80095;;;;;
80093;;;;;
80086;;;;;
80074;;4.869.889;984.289;73072;
80063;;52.947.222;12.849.444;16816;
80067;;5.286.737;1.281.375;16816;
80077;;52.985;12.854.444;16816;
80091;;52.947.222;12.849.444;16816;
80092;;52.933.333;12.666.667;;
80079;;54.343.132;13.500.345;18581;
80083;;54.341.431;13.552.315;18581;
80061;;;;48565;
80081;;;;;
80062;;;;;
119;;;;;
466;;5.478.047;943.522;;
16534;;5.478.047;943.522;24937,24939,24941,24943,24944;
469;;543.226.835.847.914;101.358.584.821.225;;
19236;;543.226.843.669.499;101.358.638.465.405;24103,24105,24106,24107,24109,24111,24113,24114,24116,24118,24143,24145,24146,24147,24148,24149,24159;
472;;5.386.956;1.068.758;;
20437;;5.386.956;1.068.713;23539,23552,23554,23556,23558,23560,23562,23564,23566,23568,23569,23570;
474;;5.407.404;998.453;;
21517;;5.407.402;9.984.512;24534,24536,24537,24539;
258;;541.474.367.521.367.000;9.111.395.811.965.810;;
13466;;54.144.319;9.284.703;25767;
13728;;54.160.343;9.248.884;25767;
13837;;539.404.157.919.798;918.355.818.681.993;25715;
14094;;540.928.582.831.399;914.927.636.427.873;25704;
14104;;542.375.297.612.527;917.432.792.628.352;25791;
14107;;5.400.761;905.485;25719;
14320;;543.185.725.084.857;92.107.603.713.328;25779;
14965;;540.085.421.643.372;922.108.787.887.367;25712;
15051;;53.897.863;9.128.617;25541;
15088;;53.988.560.899.646;922.420.527.630.123;25712;
15145;;5.413.128;886.236;25761;
15146;;5.413.641;888.819;25761;
15170;;541.643.385.813.622;9.325.005.711.561;25767;
15179;;54.000.347;9.258.527;25712;
15241;;54.038.159.217.082;904.110.522.413.804;25719;
15497;;542.380.156.999.623;936.912.670.875.148;25786;
15499;;543.037.902.739.449;925.210.461.164.061;25788;
15580;;539.386.537.931.351;90.259.316.920.546;25709;
15635;;539.577.562.994.337;91.288.440.286.425;25715;
15702;;542.607.089.315.033;930.188.574.040.476;25794;
15954;;539.459.641.812.068;913.729.432.814.392;25715;
15993;;540.539.856.954.151;925.806.160.601.902;25721;
16143;;5.407.122;904.626;25704;
16233;;5.411.262;90.532;25704;
16450;;542.826.805.701.412;913.183.496.947.767;25779;
16666;;5.402.464;917.753;25727;
16711;;5.416.263;893.788;25764;
16715;;5.401.213;890.226;25718;
16861;;541.947.086.510.896;92.232.829.346.712;25782;
17108;;542.737.118.317.976;921.936.422.730.032;25779;
17448;;5.402.169;922.311;25712;
17614;;543.002.302.605.276;898.868.155.820.352;25774;
17646;;540.254.003.841.051;910.774.269.545.628;25693;
17744;;5.425.576;915.078;25779;
18034;;5.417.816;884.133;25761;
18047;;5.419.573;909.109;25746;
18135;;5.420.538;884.581;25764;
18148;;539.721.663.762.121;901.170.994.930.538;25709;
18156;;5.427.797;90.086;25774;
18161;;5.414.771;907.252;25770;
18180;;542.831.260.486.004;916.213.119.085.313;25779;
18340;;5.421.881;887.466;25764;
18402;;5.402.627;927.591;25712;
18466;;542.450.572.500.744;929.315.716.171.805;25782;
18589;;542.904.634.059.054;922.706.551.993.433;25788;
