point	title	description	iconSize	iconOffset	icon
49.44711,11.86164	WÖHRL Haus Amberg	Bahnhofstr. 20<br />92224 Amberg<br /><br />Tel.: 09621 / 96 07-0<br />Fax: 09621 / 96 07-10<br />E-Mail:  <a href="mailto:amberg@woehrl.de">amberg@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Freitag: 9.00 - 19.00<br />Samstag: 9.00 - 18.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
49.30042,10.57194	WÖHRL Haus Ansbach	Joh.-Seb.-Bach-Platz 10<br /> 91522 Ansbach<br /><br />Tel.: 0981 / 971 498 - 0<br />Fax: 0981 / 971 498 - 10<br />E-Mail:  <a href="mailto:ansbach@woehrl.de">ansbach@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Freitag: 9.30 - 19.00<br />Samstag: 9.30 - 18.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
49.97822,9.15138	WÖHRL City Galerie Aschaffenburg	Goldbacher Straße 2<br /> 63739 Aschaffenburg<br /><br />Tel.: 06021 / 3623559<br /><br /><b>Öffnungszeiten:</b><br />Montag-Freitag: 9.00 - 20.00<br />Samstag: 9.00 - 20.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
48.36694,10.89710	WÖHRL Haus Augsburg	Moritzplatz 7<br /> 86150 Augsburg<br /><br />Tel.: 0821 / 344 86 - 0<br />Fax: 0821 / 344 86 - 10<br />E-Mail: <a href="mailto:augsburg@woehrl.de">augsburg@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Samstag: 10.00 - 20.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
50.32148,10.21528	WÖHRL Haus Bad Neustadt	Hohnstraße 21 - 23<br /> 97616 Bad Neustadt a. d. Saale<br /><br />Tel.: 09771/61210<br />Fax: 09771/612110<br />E-Mail:  <a href="mailto:bad-neustadt@woehrl.de">bad-neustadt@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Freitag: 9.00 - 19.00<br />Samstag: 9.00 - 18.00 	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
49.89423,10.89007	WÖHRL Haus Bamberg	Maximiliansplatz 8-12<br /> 96047 Bamberg<br /><br />Tel.: 0951 / 980 72-0<br />Fax: 0951 / 980 72-10<br />E-Mail: <a href="mailto:bamberg@woehrl.de">bamberg@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br /><br />Montag-Samstag: 9.30 - 19.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
49.94490,11.57056	WÖHRL Haus Bayreuth Rotmain-Center	Hohenzollernring 60<br /> 95444 Bayreuth<br /><br />Tel.: 0921 / 764 61 - 0<br />Fax: 0921 / 764 61 - 10<br />E-Mail:  <a href="mailto:bayreuth@woehrl.de">bayreuth@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Samstag: 9.30 - 20.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
50.25725,10.96441	WÖHRL Haus Coburg	Ketschengasse 14<br /> 96450 Coburg<br /><br />Tel.: 09561 / 230 677-0 <br />E-Mail:  <a href="coburg@woehrl.de">coburg@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Freitag: 9.00 - 19.00<br />Samstag: 9.00 - 18.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
48.83179,12.95864	WÖHRL Haus Deggendorf Degg´s Einkaufs-Center	Hans-Krämer-Str. 31<br /> 94469 Deggendorf<br />Tel.: 0991 / 371 76 - 0<br />Fax: 0991 / 371 76 - 10<br />E-Mail:  <a href="mailto:deggendorf@woehrl.de">deggendorf@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Freitag: 9.30 - 20.00<br />Samstag: 9.30 - 18.00	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
49.59175,11.00630	WÖHRL Haus Erlangen Neuer Markt	Rathausplatz 5<br /> 91052 Erlangen<br /><br />Tel.: 09131 / 812 57 - 0<br />Fax: 09131 / 812 57 - 10<br />E-Mail:  <a href="mailto:erlangen@woehrl.de">erlangen@woehrl.de</a><br /><br /><b>Öffnungszeiten:</b><br />Montag-Samstag: 9.30 bis 20 Uhr 	80,35	-33,-31	typo3conf/ext/woehrl_filialsuche/Resources/Public/Icons/woehrl_marker.png
